html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent,child,related
,https://ror.org/02v4g3v80,Department of Science and Technology of Inner Mongolia Autonomous Region*en,active,government;funder,,Department of Science and Technology of Inner Mongolia Autonomous Region*en;内蒙古自治区科学技术厅*zh,,https://kjt.nmg.gov.cn,,kjt.nmg.gov.cn,,501100015397,501100015397,,,,,,,Hothot,China,2036892,,,
,https://ror.org/040ebrp24,Science and Technology Department of Ningxia*en,active,government;funder,Science and Technology Department of Ningxia Province*en;Department of Science and Technology of Ningxia Hui Autonomous Region*en,Science and Technology Department of Ningxia*en;宁夏回族自治区科学技术厅*zh,,https://kjt.nx.gov.cn,,kjt.nx.gov.cn,,100015811;100016692,100015811,,,,,,,Yinchuan,China,1786657,,,
,https://ror.org/03h3fdc41,Collaborative Innovation Center of Suzhou Nano Science and Technology*en,active,facility;funder,,Collaborative Innovation Center of Suzhou Nano Science and Technology*en;苏州纳米科技协同创新中心*zh,NANO-CIC,https://nanocic.suda.edu.cn,,nanocic.suda.edu.cn,,501100012462,501100012462,,,,,,,Suzhou,China,1886760,https://ror.org/05t8y2r12,,https://ror.org/0027d9x02;https://ror.org/04c4dkn09;https://ror.org/017zhmm22;https://ror.org/04ct4d772
,https://ror.org/02rbzhv36,State Key Laboratory of Polymer Materials Engineering*en,active,facility;funder,,State Key Laboratory of Polymer Materials Engineering*en;高分子材料工程国家重点实验室*zh,,https://sklpme.scu.edu.cn,,sklpme.scu.edu.cn,,501100011263,501100011263,,,,,,,Chengdu,China,1815286,https://ror.org/011ashp19,,
,https://ror.org/02vtvez67,Science and Technology Department of Xinjiang Uyghur Autonomous Region*en,active,government;funder,Xinjiang Science and Technology Department*en,Science and Technology Department of Xinjiang Uyghur Autonomous Region*en;新疆维吾尔自治区科学技术厅*zh;شىنجاڭ ئۇيغۇر ئاپتونوم رايونلۇق پەن–تېخنىكا نازارىتى*ug,,https://kjt.xinjiang.gov.cn,,kjt.xinjiang.gov.cn,,501100015308,501100015308,,,,,,,Ürümqi,China,1529102,,,
,https://ror.org/04v7xgm25,Dalian Science and Technology Bureau*en,active,facility;funder,,Dalian Science and Technology Bureau*en;大连市科学技术局*zh,,https://kjj.dl.gov.cn,,kjj.dl.gov.cn,,501100009965,501100009965,,,,,,,Dalian,China,1814087,,,
,https://ror.org/04shcr998,Shenzhen Municipal Human Resources and Social Security Bureau*en,active,government;funder,Shenzhen Municipal Human Resources and Social Security Bureau*en;Shenzhen Human Resources and Social Security Bureau*en,Shenzhen Municipal Human Resources and Social Security Bureau*en;深圳市人力资源和社会保障局*zh,,http://hrss.sz.gov.cn,,hrss.sz.gov.cn,,501100012235,501100012235,,,,,,,Shenzhen,China,1795565,https://ror.org/05rcfc739,,
,https://ror.org/04ac0qk71,Department of Finance of Jiangsu Province*en,active,government;funder,,Department of Finance of Jiangsu Province*en;江苏省财政厅*en,,https://czt.jiangsu.gov.cn,,czt.jiangsu.gov.cn,,501100010246;501100010242,,,,,,,,Nanjing,China,1799962,https://ror.org/004svx814,,
,https://ror.org/01zp6xd43,The People's Government of Liaoning Province*en,active,government;funder,,The People's Government of Liaoning Province*en;辽宁省人民政府*zh,,https://www.ln.gov.cn,,ln.gov.cn,,100017439;501100018617,100017439,,,,,,,Shenyang,China,2034937,,https://ror.org/02f09cx53;https://ror.org/0022v2454,
,https://ror.org/03m9a6y90,CAEP Software Center for High Performance Numerical Simulation*en,active,facility;funder,,CAEP Software Center for High Performance Numerical Simulation*en;中无院高性能数值模拟软件中心*zh,CAEP SCNS,http://www.caep-scns.ac.cn,,caep-scns.ac.cn,,501100013287,501100013287,,,,,,,Beijing,China,1816670,https://ror.org/039vqpp67,,
,https://ror.org/046rtng78,Human Resources and Social Security Department of Guangdong Provice*en,active,government;funder,,Human Resources and Social Security Department of Guangdong Provice*en;广东省人力资源和社会保障厅*zh,,https://hrss.gd.gov.cn,,hrss.gd.gov.cn,,501100013069,501100013069,,,,,,,Guangzhou,China,1809858,https://ror.org/050m0b055,,
,https://ror.org/03p5eky76,China Agriculture Research System*en,active,government;funder,Agricultural Research System of China*en;China's Agricultural Research System*en,China Agriculture Research System*en;现代农业产业技术体系*zh,CARS,http://www.cars.ren,https://zh.wikipedia.org/wiki/%E7%8E%B0%E4%BB%A3%E5%86%9C%E4%B8%9A%E4%BA%A7%E4%B8%9A%E6%8A%80%E6%9C%AF%E4%BD%93%E7%B3%BB,,2007,501100012453;501100010203,501100012453,,,,,,,Beijing,China,1816670,https://ror.org/05ckt8b96;https://ror.org/02jnxpg76,,
,https://ror.org/00va36f15,Zhejiang Provincial Health Commission*en,active,government;funder,,Zhejiang Provincial Health Commission*en;浙江省卫生健康委员会*zh,,https://wsjkw.zj.gov.cn,,wsjkw.zj.gov.cn,,501100017594,501100017594,,,,,,,Hangzhou,China,1808926,,,
,https://ror.org/00ad9ka24,Zhejiang Department of Finance*en,active,government;funder,,Zhejiang Department of Finance*en;浙江省财政厅*zh,,http://czt.zj.gov.cn,,czt.zj.gov.cn,,100022955,100022955,,,,,,,Hangzhou,China,1808926,,,
