html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/02f09cx53,,,,,,,replace==https://kjt.ln.gov.cn,,add==kjt.ln.gov.cn,,add==501100010018,,,,,,,,,,
,https://ror.org/00tjzgn92,,,,,,,,,,,add==501100013050,,,,,,,,,,
,https://ror.org/0207yh398,,,,,,,,,,,add==100014417,,,,,,,,,,
,https://ror.org/04323m874,,,,,,,,,,,add==501100010250,,,,,,,,,,
,https://ror.org/01d6wrk87,,,add==funder,,add==福建省教育厅*zh,,replace==https://jyt.fujian.gov.cn,,add==jyt.fujian.gov.cn,,add==100017357,,,,,,,,,,
,https://ror.org/00xfea068,,,,add==成都市外国专家局*zh; Chengdu Foreign Expert Bureau*en,,,,,,add==2019,add==501100019014,,,,,,,,,,
,https://ror.org/03et85d35,,,,,,,,,,,add==501100020738,,,,,,,,,,
,https://ror.org/00kx6j950,,,,,,,,,,,add==501100010032,,,,,,,,,,
,https://ror.org/016s74507,,,add==funder,add==武汉市知识产权局*zh,add==武汉市科技创新局*zh,,replace==https://kjj.wuhan.gov.cn,,add==kjj.wuhan.gov.cn,,add==501100010888,add==501100010888,,,,,,,,,
,https://ror.org/03at7w331,,,,add==Shanghai Municipal Health and Family Planning Commission*en,add==上海市卫生和计划生育委员会*zh,,,add==https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%8D%AB%E7%94%9F%E5%81%A5%E5%BA%B7%E5%A7%94%E5%91%98%E4%BC%9A,,,add==501100014175,,,,,,,,,,
,https://ror.org/017n8df75,,,,,,,,,,,add==100017380,,,,,,,,,,
,https://ror.org/015m77g16,,,,add==State Key Laboratory of Robotics and System*en;机器人技术与系统国家重点实验室*zh,replace==State Key Laboratory of Robotics and Systems*en;机器人技术与系统全国重点实验室*zh,,,,,add==1986,add==501100011381,add==501100011381,,,,,,,,,
,https://ror.org/01b9fvd84,,,,,,,,,,,add==501100018546,,,,,,,,,,
,https://ror.org/03w2z6524,,,,,,,,,,,add==501100011529,,,,,,,,,,
,https://ror.org/02tx34m84,,,,,,,,,,,add==501100018557,,,,,,,,,,
,https://ror.org/04ac0qk71,,,,,replace==Department of Finance of Jiangsu Province*en; 江苏省财政厅*zh,,,,,,add==100012493;501100010011,,,,,,,,,,
,https://ror.org/04qgr7x96,replace==Department of Science and Technology of Hunan Province*en,,,add==Hunan Provincial Science and Technology Department*en,replace==湖南省科学技术厅*zh;Department of Science and Technology of Hunan Province*en,,replace==https://kjt.hunan.gov.cn,,add==kjt.hunan.gov.cn,,add==501100019338; 501100020795; 501100019092,,,,,,,,,,
,https://ror.org/01mv9t934,,,,,,,,,,,add==501100013151,,,,,,,,,,
,https://ror.org/04v7xgm25,,,,,,,,,,,add==100015789,,,,,,,,,,
,https://ror.org/01rr3tg72,,,,,add==江苏省卫生和计划生育委员会*zh,,,,,add==2014,add==501100013059,,,,,,,,,,
,https://ror.org/05twwhs70,replace==State Grid Corporation of China*zh,,add==funder,,replace==国家电网有限公司*zh; State Grid Corporation of China*zh,,replace==http://www.sgcc.com.cn,,,,add==501100013148,,,,,,,,,,
